都道府県名,市区町村名,大字・町名,字・丁目名,総数
和歌山県,新宮市,あけぼの,,45
和歌山県,田辺市,あけぼの,,1824
和歌山県,橋本市,あやの台,二丁目,1076
和歌山県,橋本市,あやの台,一丁目,1299
和歌山県,橋本市,あやの台,,2375
和歌山県,橋本市,さつき台,二丁目,247
和歌山県,橋本市,さつき台,一丁目,1081
和歌山県,橋本市,さつき台,,1328
和歌山県,串本町,サンゴ台,,595
和歌山県,串本町,サンゴ台,,595
和歌山県,橋本市,しらさぎ台,,330
和歌山県,田辺市,たきない町,,1002
和歌山県,和歌山市,つつじが丘,,1523
和歌山県,海南市,ひや水,,58
和歌山県,橋本市,みゆき台,,592
和歌山県,田辺市,むつみ,,524
和歌山県,新宮市,阿須賀,一丁目,59
和歌山県,新宮市,阿須賀,二丁目,219
和歌山県,新宮市,阿須賀,,278
和歌山県,和歌山市,葵町,,143
和歌山県,和歌山市,芦辺丁,,16
和歌山県,海南市,扱沢,,38
和歌山県,田辺市,鮎川,,10
和歌山県,田辺市,鮎川,,25
和歌山県,田辺市,鮎川,,33
和歌山県,田辺市,鮎川,,46
和歌山県,田辺市,鮎川,,59
和歌山県,田辺市,鮎川,,77
和歌山県,田辺市,鮎川,,96
和歌山県,田辺市,鮎川,,107
和歌山県,田辺市,鮎川,,110
和歌山県,田辺市,鮎川,,121
和歌山県,田辺市,鮎川,,124
和歌山県,田辺市,鮎川,,178
和歌山県,田辺市,鮎川,,180
和歌山県,田辺市,鮎川,,500
和歌山県,田辺市,鮎川,,1666
和歌山県,和歌山市,粟,,1720
和歌山県,紀美野町,安井,,241
和歌山県,串本町,伊串,,203
和歌山県,新宮市,伊佐田町,二丁目,50
和歌山県,新宮市,伊佐田町,一丁目,53
和歌山県,新宮市,伊佐田町,,103
和歌山県,和歌山市,伊太祈曽,,675
和歌山県,和歌山市,井ノ口,,851
和歌山県,新宮市,井の沢,,468
和歌山県,紀美野町,井堰,,61
和歌山県,和歌山市,井戸,,622
和歌山県,海南市,井田,,565
和歌山県,和歌山市,井辺,,3385
和歌山県,和歌山市,磯の浦,,862
和歌山県,田辺市,磯間,,701
和歌山県,古座川町,一雨,,36
和歌山県,田辺市,稲成町,,2660
和歌山県,和歌山市,宇治袋町,,76
和歌山県,和歌山市,宇治藪下,,20
和歌山県,和歌山市,宇須,一丁目,165
和歌山県,和歌山市,宇須,四丁目,478
和歌山県,和歌山市,宇須,二丁目,486
和歌山県,和歌山市,宇須,三丁目,528
和歌山県,和歌山市,宇須,,1657
和歌山県,古座川町,宇津木,,72
和歌山県,和歌山市,宇田森,,826
和歌山県,和歌山市,餌差町,,66
和歌山県,白浜町,栄,,842
和歌山県,和歌山市,栄谷,,4577
和歌山県,田辺市,栄町,,113
和歌山県,和歌山市,永山,,110
和歌山県,紀美野町,永谷,,32
和歌山県,和歌山市,永穂,,793
和歌山県,和歌山市,榎原,,2458
和歌山県,紀美野町,円明寺,,37
和歌山県,和歌山市,園部,,2222
和歌山県,和歌山市,園部,,2520
和歌山県,和歌山市,園部,,6304
和歌山県,和歌山市,延時,,855
和歌山県,御坊市,薗,,2926
和歌山県,和歌山市,塩ノ谷,,32
和歌山県,和歌山市,塩屋,二丁目,23
和歌山県,和歌山市,塩屋,六丁目,247
和歌山県,和歌山市,塩屋,一丁目,281
和歌山県,和歌山市,塩屋,四丁目,281
和歌山県,和歌山市,塩屋,三丁目,697
和歌山県,和歌山市,塩屋,五丁目,784
和歌山県,和歌山市,塩屋,,2313
和歌山県,御坊市,塩屋町南塩屋,,944
和歌山県,御坊市,塩屋町北塩屋,,1184
和歌山県,紀美野町,奥佐々,,60
和歌山県,和歌山市,奥須佐,,315
和歌山県,橋本市,横座,,32
和歌山県,橋本市,横座,,32
和歌山県,新宮市,横町,一丁目,17
和歌山県,新宮市,横町,二丁目,30
和歌山県,新宮市,横町,,47
和歌山県,新宮市,王子町,三丁目,286
和歌山県,新宮市,王子町,二丁目,321
和歌山県,新宮市,王子町,一丁目,577
和歌山県,新宮市,王子町,,1184
和歌山県,上富田町,岡,,1315
和歌山県,和歌山市,岡円福院西ノ丁,,76
和歌山県,和歌山市,岡円福院東ノ丁,,56
和歌山県,和歌山市,岡山丁,,107
和歌山県,和歌山市,岡織屋小路,,50
和歌山県,和歌山市,岡袋町,,16
和歌山県,海南市,岡田,,2285
和歌山県,和歌山市,岡南ノ丁,,55
和歌山県,海南市,沖野々,,585
和歌山県,和歌山市,屋形町,二丁目,44
和歌山県,和歌山市,屋形町,一丁目,141
和歌山県,和歌山市,屋形町,三丁目,171
和歌山県,和歌山市,屋形町,,356
和歌山県,上富田町,下鮎川,,289
和歌山県,田辺市,下屋敷町,,372
和歌山県,紀美野町,下佐々,,1772
和歌山県,田辺市,下三栖,,2204
和歌山県,和歌山市,下三毛,,1206
和歌山県,田辺市,下川下,,52
和歌山県,田辺市,下川下,,86
和歌山県,田辺市,下川上,,81
和歌山県,有田市,下中島,,406
和歌山県,海南市,下津町引尾下出,,123
和歌山県,海南市,下津町引尾松尾,,55
和歌山県,海南市,下津町引尾上出,,18
和歌山県,海南市,下津町引尾土井原,,70
和歌山県,海南市,下津町塩津,,433
和歌山県,海南市,下津町下,,420
和歌山県,海南市,下津町笠畑,,20
和歌山県,海南市,下津町丸田,,575
和歌山県,海南市,下津町丸田加茂郷,,737
和歌山県,海南市,下津町丸田戸坂,,139
和歌山県,海南市,下津町橘本,,350
和歌山県,海南市,下津町興,,104
和歌山県,海南市,下津町沓掛,,61
和歌山県,海南市,下津町黒田,,213
和歌山県,海南市,下津町市坪,,295
和歌山県,海南市,下津町小原,,529
和歌山県,海南市,下津町小松原,,248
和歌山県,海南市,下津町小南,,419
和歌山県,海南市,下津町小畑,,190
和歌山県,海南市,下津町上,,969
和歌山県,海南市,下津町新田,,460
和歌山県,海南市,下津町西,,343
和歌山県,海南市,下津町青枝,,188
和歌山県,海南市,下津町曽根田,,144
和歌山県,海南市,下津町大窪,,103
和歌山県,海南市,下津町大崎,,364
和歌山県,海南市,下津町大崎女良,,100
和歌山県,海南市,下津町中,,438
和歌山県,海南市,下津町丁,,306
和歌山県,海南市,下津町東,,547
和歌山県,海南市,下津町梅田,,133
和歌山県,海南市,下津町百垣内,,82
和歌山県,海南市,下津町方南,,642
和歌山県,海南市,下津町方北,,557
和歌山県,海南市,下津町鰈川,,131
和歌山県,海南市,下津野,,78
和歌山県,新宮市,下田,三丁目,161
和歌山県,新宮市,下田,二丁目,426
和歌山県,新宮市,下田,一丁目,446
和歌山県,新宮市,下田,,1033
和歌山県,新宮市,下本町,一丁目,34
和歌山県,新宮市,下本町,二丁目,34
和歌山県,新宮市,下本町,,68
和歌山県,田辺市,下万呂,,2059
和歌山県,古座川町,下露,,51
和歌山県,和歌山市,下和佐,,134
和歌山県,和歌山市,加太,,2385
和歌山県,和歌山市,加納,,6422
和歌山県,和歌山市,嘉家作丁,,418
和歌山県,かつらぎ町,花園新子,,33
和歌山県,かつらぎ町,花園中南,,18
和歌山県,かつらぎ町,花園北寺・,,11
和歌山県,かつらぎ町,花園梁瀬,,184
和歌山県,紀美野町,花野原,,30
和歌山県,和歌山市,駕町,,101
和歌山県,海南市,海老谷,,65
和歌山県,橋本市,柿の木坂,,110
和歌山県,橋本市,柿の木坂,,127
和歌山県,橋本市,柿の木坂,,168
和歌山県,橋本市,柿の木坂,,168
和歌山県,橋本市,柿の木坂,,185
和歌山県,橋本市,柿の木坂,,266
和歌山県,橋本市,柿の木坂,,1024
和歌山県,田辺市,学園,,768
和歌山県,橋本市,学文路,,89
和歌山県,橋本市,学文路,,90
和歌山県,橋本市,学文路,,139
和歌山県,橋本市,学文路,,139
和歌山県,橋本市,学文路,,142
和歌山県,橋本市,学文路,,730
和歌山県,橋本市,学文路,,1329
和歌山県,串本町,樫野,,209
和歌山県,和歌山市,梶取,,1966
和歌山県,海南市,且来,,1722
和歌山県,紀美野町,釜滝,,75
和歌山県,紀美野町,鎌滝,,90
和歌山県,和歌山市,関戸,五丁目,137
和歌山県,和歌山市,関戸,一丁目,530
和歌山県,和歌山市,関戸,二丁目,618
和歌山県,和歌山市,関戸,三丁目,1017
和歌山県,和歌山市,関戸,四丁目,1106
和歌山県,和歌山市,関戸,,3408
和歌山県,新宮市,丸山,,150
和歌山県,橋本市,岸上,,59
和歌山県,橋本市,岸上,,90
和歌山県,橋本市,岸上,,93
和歌山県,橋本市,岸上,,194
和歌山県,橋本市,岸上,,208
和歌山県,橋本市,岸上,,308
和歌山県,橋本市,岸上,,952
和歌山県,和歌山市,岩橋,,2147
和歌山県,上富田町,岩崎,,143
和歌山県,上富田町,岩田,,2218
和歌山県,御坊市,岩内,,492
和歌山県,和歌山市,寄合町,,127
和歌山県,みなべ町,気佐藤,,131
和歌山県,みなべ町,気佐藤,,258
和歌山県,橋本市,紀ノ光台,,409
和歌山県,橋本市,紀ノ光台,二丁目,409
和歌山県,橋本市,紀見,,39
和歌山県,橋本市,紀見,,149
和歌山県,橋本市,紀見,,177
和歌山県,橋本市,紀見,,365
和歌山県,橋本市,紀見ケ丘,一丁目,528
和歌山県,橋本市,紀見ケ丘,二丁目,900
和歌山県,橋本市,紀見ケ丘,三丁目,1030
和歌山県,橋本市,紀見ケ丘,,2458
和歌山県,和歌山市,紀三井寺,,3914
和歌山県,橋本市,吉原,,95
和歌山県,橋本市,吉原,,152
和歌山県,橋本市,吉原,,238
和歌山県,橋本市,吉原,,485
和歌山県,和歌山市,吉原,,2001
和歌山県,有田川町,吉田,,296
和歌山県,和歌山市,吉田,,402
和歌山県,和歌山市,吉田,,488
和歌山県,和歌山市,吉田,,776
和歌山県,和歌山市,吉田,,1363
和歌山県,紀美野町,吉野,,194
和歌山県,和歌山市,吉里,,1122
和歌山県,和歌山市,吉礼,,1481
和歌山県,和歌山市,久右衛門丁,,72
和歌山県,和歌山市,久保丁,一丁目,65
和歌山県,和歌山市,久保丁,三丁目,67
和歌山県,和歌山市,久保丁,二丁目,70
和歌山県,和歌山市,久保丁,四丁目,77
和歌山県,和歌山市,久保丁,,279
和歌山県,有田市,宮原町新町,,949
和歌山県,有田市,宮原町須谷,,424
和歌山県,有田市,宮原町滝,,234
和歌山県,有田市,宮原町滝川原,,1134
和歌山県,有田市,宮原町東,,658
和歌山県,有田市,宮原町道,,1056
和歌山県,有田市,宮原町畑,,18
和歌山県,有田市,宮崎町,,139
和歌山県,有田市,宮崎町,,211
和歌山県,有田市,宮崎町,,476
和歌山県,有田市,宮崎町,,1548
和歌山県,有田市,宮崎町,,2088
和歌山県,和歌山市,境原,,127
和歌山県,橋本市,境原,,178
和歌山県,和歌山市,橋向丁,,9
和歌山県,橋本市,橋谷,,255
和歌山県,橋本市,橋谷,,324
和歌山県,橋本市,橋谷,,579
和歌山県,和歌山市,橋丁,,67
和歌山県,橋本市,橋本,二丁目,87
和歌山県,橋本市,橋本,一丁目,102
和歌山県,橋本市,橋本,,139
和歌山県,橋本市,橋本,,328
和歌山県,新宮市,橋本,二丁目,499
和歌山県,新宮市,橋本,一丁目,518
和歌山県,新宮市,橋本,,1017
和歌山県,みなべ町,筋,,319
和歌山県,和歌山市,金谷,,370
和歌山県,和歌山市,金龍寺丁,,261
和歌山県,和歌山市,九家ノ丁,,48
和歌山県,和歌山市,九番丁,,24
和歌山県,海南市,九品寺,,272
和歌山県,橋本市,隅田町芋生,,77
和歌山県,橋本市,隅田町芋生,,135
和歌山県,橋本市,隅田町芋生,,144
和歌山県,橋本市,隅田町芋生,,356
和歌山県,橋本市,隅田町下兵庫,,49
和歌山県,橋本市,隅田町下兵庫,,93
和歌山県,橋本市,隅田町下兵庫,,150
和歌山県,橋本市,隅田町下兵庫,,151
和歌山県,橋本市,隅田町下兵庫,,181
和歌山県,橋本市,隅田町下兵庫,,187
和歌山県,橋本市,隅田町下兵庫,,201
和歌山県,橋本市,隅田町下兵庫,,588
和歌山県,橋本市,隅田町下兵庫,,1600
和歌山県,橋本市,隅田町河瀬,,91
和歌山県,橋本市,隅田町河瀬,,99
和歌山県,橋本市,隅田町河瀬,,101
和歌山県,橋本市,隅田町河瀬,,103
和歌山県,橋本市,隅田町河瀬,,128
和歌山県,橋本市,隅田町河瀬,,276
和歌山県,橋本市,隅田町河瀬,,381
和歌山県,橋本市,隅田町河瀬,,1179
和歌山県,橋本市,隅田町山内,,167
和歌山県,橋本市,隅田町山内,,190
和歌山県,橋本市,隅田町山内,,285
和歌山県,橋本市,隅田町山内,,642
和歌山県,橋本市,隅田町上兵庫,,242
和歌山県,橋本市,隅田町真土,,45
和歌山県,橋本市,隅田町真土,,49
和歌山県,橋本市,隅田町真土,,67
和歌山県,橋本市,隅田町真土,,90
和歌山県,橋本市,隅田町真土,,251
和歌山県,橋本市,隅田町垂井,,78
和歌山県,橋本市,隅田町垂井,,133
和歌山県,橋本市,隅田町垂井,,194
和歌山県,橋本市,隅田町垂井,,405
和歌山県,橋本市,隅田町霜草,,246
和歌山県,橋本市,隅田町中下,,83
和歌山県,橋本市,隅田町中下,,431
和歌山県,橋本市,隅田町中下,,514
和歌山県,橋本市,隅田町中島,,63
和歌山県,橋本市,隅田町中島,,98
和歌山県,橋本市,隅田町中島,,324
和歌山県,橋本市,隅田町中島,,353
和歌山県,橋本市,隅田町中島,,838
和歌山県,橋本市,隅田町平野,,177
和歌山県,串本町,串本,,49
和歌山県,串本町,串本,,154
和歌山県,串本町,串本,,214
和歌山県,串本町,串本,,248
和歌山県,串本町,串本,,257
和歌山県,串本町,串本,,327
和歌山県,串本町,串本,,382
和歌山県,串本町,串本,,585
和歌山県,串本町,串本,,854
和歌山県,みなべ町,熊岡,,191
和歌山県,みなべ町,熊瀬川,,100
和歌山県,田辺市,熊野,,14
和歌山県,御坊市,熊野,,383
和歌山県,新宮市,熊野川町奥山手,,28
和歌山県,新宮市,熊野川町奥赤木,,108
和歌山県,新宮市,熊野川町音川,,34
和歌山県,新宮市,熊野川町宮井,,36
和歌山県,新宮市,熊野川町九重,,28
和歌山県,新宮市,熊野川町志古,,22
和歌山県,新宮市,熊野川町篠尾,,19
和歌山県,新宮市,熊野川町上長井,,44
和歌山県,新宮市,熊野川町神丸,,104
和歌山県,新宮市,熊野川町神丸,,140
和歌山県,新宮市,熊野川町西,,70
和歌山県,新宮市,熊野川町西敷屋,,33
和歌山県,新宮市,熊野川町相須,,13
和歌山県,新宮市,熊野川町相須,,56
和歌山県,新宮市,熊野川町大山,,42
和歌山県,新宮市,熊野川町滝本,,12
和歌山県,新宮市,熊野川町田長,,17
和歌山県,新宮市,熊野川町嶋津,,11
和歌山県,新宮市,熊野川町東,,20
和歌山県,新宮市,熊野川町東敷屋,,28
和歌山県,新宮市,熊野川町日足,,127
和歌山県,新宮市,熊野川町能城,,59
和歌山県,新宮市,熊野川町尾頭,,21
和歌山県,新宮市,熊野川町北玉置口,,10
和歌山県,新宮市,熊野川町北四滝,,23
和歌山県,新宮市,熊野川町椋井,,22
和歌山県,新宮市,熊野地,一丁目,442
和歌山県,新宮市,熊野地,二丁目,604
和歌山県,新宮市,熊野地,,1046
和歌山県,和歌山市,栗栖,,2023
和歌山県,橋本市,慶賀野,,180
和歌山県,紀美野町,桂瀬,,20
和歌山県,御坊市,荊木,,136
和歌山県,古座川町,月野瀬,,98
和歌山県,白浜町,堅田,,22
和歌山県,白浜町,堅田,,1085
和歌山県,白浜町,堅田,,1091
和歌山県,白浜町,堅田,,2679
和歌山県,白浜町,堅田,,4877
和歌山県,すさみ町,見老津,,183
和歌山県,橋本市,賢堂,,128
和歌山県,橋本市,賢堂,,346
和歌山県,橋本市,賢堂,,474
和歌山県,和歌山市,元寺町,二丁目,33
和歌山県,和歌山市,元寺町,三丁目,50
和歌山県,和歌山市,元寺町,,83
和歌山県,和歌山市,元寺町西ノ丁,,69
和歌山県,和歌山市,元寺町南ノ丁,,102
和歌山県,和歌山市,元寺町北ノ丁,,87
和歌山県,新宮市,元鍛治町,二丁目,30
和歌山県,新宮市,元鍛治町,一丁目,92
和歌山県,新宮市,元鍛治町,,122
和歌山県,田辺市,元町,,32
和歌山県,和歌山市,元博労町,,65
和歌山県,橋本市,原田,,70
和歌山県,橋本市,原田,,125
和歌山県,橋本市,原田,,142
和歌山県,橋本市,原田,,206
和歌山県,橋本市,原田,,480
和歌山県,橋本市,原田,,1023
和歌山県,海南市,原野,,489
和歌山県,和歌山市,源蔵馬場,,31
和歌山県,和歌山市,古屋,,2201
和歌山県,有田市,古江見,,711
和歌山県,橋本市,古佐田,四丁目,166
和歌山県,橋本市,古佐田,一丁目,168
和歌山県,橋本市,古佐田,二丁目,220
和歌山県,橋本市,古佐田,三丁目,289
和歌山県,橋本市,古佐田,,843
和歌山県,串本町,古座,,65
和歌山県,串本町,古座,,76
和歌山県,串本町,古座,,251
和歌山県,串本町,古座,,392
和歌山県,串本町,古田,,87
和歌山県,田辺市,古尾,,497
和歌山県,和歌山市,狐島,,4927
和歌山県,橋本市,胡麻生,,133
和歌山県,橋本市,胡麻生,,137
和歌山県,橋本市,胡麻生,,180
和歌山県,橋本市,胡麻生,,232
和歌山県,橋本市,胡麻生,,242
和歌山県,橋本市,胡麻生,,380
和歌山県,橋本市,胡麻生,,465
和歌山県,橋本市,胡麻生,,1769
和歌山県,新宮市,五新,,312
和歌山県,田辺市,五味,,27
和歌山県,橋本市,御幸辻,,52
和歌山県,橋本市,御幸辻,,63
和歌山県,橋本市,御幸辻,,96
和歌山県,橋本市,御幸辻,,136
和歌山県,橋本市,御幸辻,,151
和歌山県,橋本市,御幸辻,,166
和歌山県,橋本市,御幸辻,,170
和歌山県,橋本市,御幸辻,,216
和歌山県,橋本市,御幸辻,,227
和歌山県,橋本市,御幸辻,,1277
和歌山県,御坊市,御坊,,501
和歌山県,橋本市,光陽台,二丁目,386
和歌山県,橋本市,光陽台,一丁目,597
和歌山県,橋本市,光陽台,,983
和歌山県,和歌山市,口須佐,,963
和歌山県,すさみ町,口和深,,118
和歌山県,和歌山市,向,,1489
和歌山県,田辺市,向山,,18
和歌山県,田辺市,向山,,56
和歌山県,田辺市,向山,,74
和歌山県,橋本市,向副,,155
和歌山県,橋本市,向副,,225
和歌山県,橋本市,向副,,372
和歌山県,橋本市,向副,,752
和歌山県,和歌山市,広瀬中ノ丁,,532
和歌山県,和歌山市,広瀬通丁,三丁目,55
和歌山県,和歌山市,広瀬通丁,一丁目,93
和歌山県,和歌山市,広瀬通丁,,148
和歌山県,和歌山市,広道,,66
和歌山県,みなべ町,広野,,51
和歌山県,和歌山市,弘西,,2936
和歌山県,和歌山市,杭ノ瀬,,391
和歌山県,和歌山市,杭ノ瀬,,4004
和歌山県,すさみ町,江住,江須之川,95
和歌山県,すさみ町,江住,,307
和歌山県,すさみ町,江住,,402
和歌山県,田辺市,江川,,399
和歌山県,田辺市,江川,,447
和歌山県,田辺市,江川,,846
和歌山県,串本町,江田,,58
和歌山県,和歌山市,江南,,714
和歌山県,有田市,港町,,2274
和歌山県,海南市,溝ノ口,,441
和歌山県,古座川町,高瀬,,178
和歌山県,古座川町,高池,,17
和歌山県,古座川町,高池,,636
和歌山県,古座川町,高池,,653
和歌山県,海南市,高津,,230
和歌山県,新宮市,高田,,234
和歌山県,紀美野町,高畑,,9
和歌山県,串本町,高富,,275
和歌山県,みなべ町,高野,,238
和歌山県,橋本市,高野口町応其,,1131
和歌山県,橋本市,高野口町下中,,173
和歌山県,橋本市,高野口町九重,,118
和歌山県,橋本市,高野口町向島,,1063
和歌山県,橋本市,高野口町嵯峨谷,,128
和歌山県,橋本市,高野口町小田,,1371
和歌山県,橋本市,高野口町上中,,96
和歌山県,橋本市,高野口町大野,,1688
和歌山県,橋本市,高野口町竹尾,,31
和歌山県,橋本市,高野口町田原,,189
和歌山県,橋本市,高野口町伏原,,2525
和歌山県,橋本市,高野口町名古曽,,2461
和歌山県,橋本市,高野口町名倉,,1326
和歌山県,田辺市,高雄,一丁目,653
和歌山県,田辺市,高雄,二丁目,779
和歌山県,田辺市,高雄,三丁目,846
和歌山県,田辺市,高雄,,2278
和歌山県,田辺市,合川,,41
和歌山県,紀美野町,国木原,,24
和歌山県,和歌山市,黒岩,,200
和歌山県,海南市,黒江,,1709
和歌山県,和歌山市,黒田,一丁目,76
和歌山県,和歌山市,黒田,二丁目,208
和歌山県,和歌山市,黒田,,284
和歌山県,和歌山市,黒田,,3655
和歌山県,紀美野町,今西,,9
和歌山県,和歌山市,今福,三丁目,578
和歌山県,和歌山市,今福,一丁目,662
和歌山県,和歌山市,今福,四丁目,686
和歌山県,和歌山市,今福,二丁目,737
和歌山県,和歌山市,今福,五丁目,750
和歌山県,和歌山市,今福,,3413
和歌山県,田辺市,今福町,,120
和歌山県,田辺市,紺屋町,,105
和歌山県,古座川町,佐田,,28
和歌山県,串本町,佐部,,106
和歌山県,すさみ町,佐本栗垣内,,17
和歌山県,すさみ町,佐本根倉,,23
和歌山県,すさみ町,佐本深谷,,10
和歌山県,すさみ町,佐本中,,31
和歌山県,すさみ町,佐本中野,,23
和歌山県,すさみ町,佐本追川,,28
和歌山県,新宮市,佐野,三丁目,355
和歌山県,新宮市,佐野,二丁目,573
和歌山県,新宮市,佐野,一丁目,627
和歌山県,新宮市,佐野,,1747
和歌山県,新宮市,佐野,,3302
和歌山県,和歌山市,砂山南,四丁目,216
和歌山県,和歌山市,砂山南,三丁目,232
和歌山県,和歌山市,砂山南,二丁目,326
和歌山県,和歌山市,砂山南,一丁目,330
和歌山県,和歌山市,砂山南,,1104
和歌山県,橋本市,妻,三丁目,58
和歌山県,橋本市,妻,二丁目,72
和歌山県,橋本市,妻,一丁目,127
和歌山県,橋本市,妻,,166
和歌山県,橋本市,妻,,423
和歌山県,白浜町,才野,,1249
和歌山県,橋本市,細川,,324
和歌山県,和歌山市,材木丁,,68
和歌山県,紀美野町,坂本,,53
和歌山県,海南市,阪井,,2218
和歌山県,みなべ町,堺,,485
和歌山県,和歌山市,鷺ノ森西ノ丁,,23
和歌山県,和歌山市,鷺ノ森中ノ丁,,41
和歌山県,和歌山市,鷺ノ森南ノ丁,,17
和歌山県,和歌山市,鷺ノ森明神丁,,216
和歌山県,和歌山市,作事丁,,167
和歌山県,和歌山市,雑賀屋町,,430
和歌山県,和歌山市,雑賀崎,,1106
和歌山県,和歌山市,雑賀町,,49
和歌山県,和歌山市,雑賀道,,30
和歌山県,和歌山市,三葛,,101
和歌山県,和歌山市,三葛,,4350
和歌山県,和歌山市,三筋目,,31
和歌山県,橋本市,三石台,四丁目,133
和歌山県,橋本市,三石台,二丁目,1063
和歌山県,橋本市,三石台,一丁目,1355
和歌山県,橋本市,三石台,三丁目,1943
和歌山県,橋本市,三石台,,4494
和歌山県,和歌山市,三沢町,二丁目,135
和歌山県,和歌山市,三沢町,一丁目,149
和歌山県,和歌山市,三沢町,三丁目,271
和歌山県,和歌山市,三沢町,四丁目,415
和歌山県,和歌山市,三沢町,,970
和歌山県,古座川町,三尾川,,146
和歌山県,紀美野町,三尾川,,150
和歌山県,和歌山市,三木町中ノ丁,,210
和歌山県,和歌山市,三木町堀詰,,292
和歌山県,新宮市,三輪崎,二丁目,591
和歌山県,新宮市,三輪崎,一丁目,604
和歌山県,新宮市,三輪崎,三丁目,637
和歌山県,新宮市,三輪崎,,1377
和歌山県,新宮市,三輪崎,,3209
和歌山県,和歌山市,山蔭丁,,76
和歌山県,和歌山市,山口西,,672
和歌山県,海南市,山崎町,三丁目,28
和歌山県,海南市,山崎町,一丁目,54
和歌山県,海南市,山崎町,二丁目,55
和歌山県,海南市,山崎町,,137
和歌山県,古座川町,山手,,31
和歌山県,有田市,山地,,575
和歌山県,海南市,山田,,18
和歌山県,橋本市,山田,,65
和歌山県,橋本市,山田,,98
和歌山県,橋本市,山田,,122
和歌山県,橋本市,山田,,128
和歌山県,橋本市,山田,,413
和歌山県,有田市,山田原,,375
和歌山県,和歌山市,山東中,,891
和歌山県,みなべ町,山内,,116
和歌山県,みなべ町,山内,,522
和歌山県,紀美野町,四郷,,18
和歌山県,和歌山市,四筋目,,19
和歌山県,上富田町,市ノ瀬,,1734
和歌山県,みなべ町,市井川,,125
和歌山県,和歌山市,市小路,,4291
和歌山県,橋本市,市脇,五丁目,53
和歌山県,橋本市,市脇,,110
和歌山県,橋本市,市脇,三丁目,125
和歌山県,橋本市,市脇,四丁目,171
和歌山県,橋本市,市脇,一丁目,178
和歌山県,橋本市,市脇,二丁目,187
和歌山県,橋本市,市脇,,824
和歌山県,有田市,糸我町西,,1055
和歌山県,有田市,糸我町中番,,549
和歌山県,和歌山市,寺内,,753
和歌山県,海南市,次ケ谷,,203
和歌山県,和歌山市,次郎丸,,499
和歌山県,和歌山市,汐見町,三丁目,39
和歌山県,和歌山市,汐見町,一丁目,48
和歌山県,和歌山市,汐見町,二丁目,65
和歌山県,和歌山市,汐見町,,152
和歌山県,海南市,七山,,867
和歌山県,紀美野町,柴目,,150
和歌山県,みなべ町,芝,,410
和歌山県,みなべ町,芝,,436
和歌山県,みなべ町,芝,,754
和歌山県,和歌山市,芝ノ丁,,99
和歌山県,和歌山市,手平,六丁目,87
和歌山県,和歌山市,手平,二丁目,200
和歌山県,和歌山市,手平,一丁目,276
和歌山県,和歌山市,手平,五丁目,353
和歌山県,和歌山市,手平,三丁目,468
和歌山県,和歌山市,手平,四丁目,610
和歌山県,和歌山市,手平,,1994
和歌山県,すさみ町,周参見,入松,24
和歌山県,すさみ町,周参見,原,47
和歌山県,すさみ町,周参見,堀地,58
和歌山県,すさみ町,周参見,沼田谷,61
和歌山県,すさみ町,周参見,神田,110
和歌山県,すさみ町,周参見,下地二,116
和歌山県,すさみ町,周参見,石橋,120
和歌山県,すさみ町,周参見,小泊,126
和歌山県,すさみ町,周参見,本城,130
和歌山県,すさみ町,周参見,大関地,148
和歌山県,すさみ町,周参見,山崎,157
