都道府県,市区町村,人口,店舗数,人口10万人当たり店舗数
青森県,青森市,275192.0,43,15.63
青森県,弘前市,168466.0,34,20.18
青森県,八戸市,223415.0,40,17.9
青森県,黒石市,31946.0,6,18.78
青森県,五所川原市,51415.0,14,27.23
青森県,十和田市,60378.0,13,21.53
青森県,三沢市,39152.0,9,22.99
青森県,むつ市,54103.0,15,27.72
青森県,つがる市,30934.0,6,19.4
青森県,平川市,30567.0,5,16.36
青森県,平内町,10126.0,2,19.75
青森県,今別町,2334.0,0,0.0
青森県,蓬田村,2540.0,0,0.0
青森県,外ヶ浜町,5401.0,1,18.52
青森県,鰺ヶ沢町,9044.0,3,33.17
青森県,深浦町,7346.0,1,13.61
青森県,西目屋村,1265.0,0,0.0
青森県,藤崎町,14573.0,3,20.59
青森県,大鰐町,8665.0,2,23.08
青森県,田舎館村,7326.0,0,0.0
青森県,板柳町,12700.0,4,31.5
青森県,鶴田町,12074.0,2,16.56
青森県,中泊町,9657.0,2,20.71
青森県,野辺地町,12374.0,4,32.33
青森県,七戸町,14556.0,3,20.61
青森県,六戸町,10447.0,2,19.14
青森県,横浜町,4229.0,0,0.0
青森県,東北町,16428.0,5,30.44
青森県,六ヶ所村,10367.0,1,9.65
青森県,おいらせ町,24273.0,6,24.72
青森県,大間町,4718.0,2,42.39
青森県,東通村,5955.0,0,0.0
青森県,風間浦村,1636.0,0,0.0
青森県,佐井村,1788.0,0,0.0
青森県,三戸町,9082.0,4,44.04
青森県,五戸町,16042.0,3,18.7
青森県,田子町,4968.0,0,0.0
青森県,南部町,16809.0,4,23.8
青森県,階上町,13496.0,3,22.23
青森県,新郷村,2197.0,0,0.0
岩手県,盛岡市,289731.0,78,26.92
岩手県,宮古市,50369.0,13,25.81
岩手県,大船渡市,34728.0,13,37.43
岩手県,花巻市,93193.0,27,28.97
岩手県,北上市,93045.0,27,29.02
岩手県,久慈市,33043.0,12,36.32
岩手県,遠野市,25366.0,7,27.6
岩手県,一関市,111932.0,23,20.55
岩手県,陸前高田市,18262.0,8,43.81
岩手県,釜石市,32078.0,8,24.94
岩手県,二戸市,25513.0,9,35.28
岩手県,八幡平市,24023.0,4,16.65
岩手県,奥州市,112937.0,29,25.68
岩手県,滝沢市,55579.0,14,25.19
岩手県,岩手郡雫石町,15731.0,2,12.71
岩手県,岩手郡葛巻町,5634.0,1,17.75
岩手県,岩手郡岩手町,12285.0,5,40.7
岩手県,紫波郡紫波町,32147.0,10,31.11
岩手県,紫波郡矢巾町,28056.0,8,28.51
岩手県,和賀郡西和賀町,5134.0,1,19.48
岩手県,胆沢郡金ケ崎町,15535.0,3,19.31
岩手県,西磐井郡平泉町,7252.0,2,27.58
岩手県,気仙郡住田町,5045.0,1,19.82
岩手県,上閉伊郡大槌町,11004.0,3,27.26
岩手県,下閉伊郡山田町,14320.0,4,27.93
岩手県,下閉伊郡岩泉町,8726.0,3,34.38
岩手県,下閉伊郡田野畑村,3059.0,1,32.69
岩手県,下閉伊郡普代村,2487.0,0,0.0
岩手県,九戸郡軽米町,8421.0,1,11.88
岩手県,九戸郡野田村,3936.0,0,0.0
岩手県,九戸郡九戸村,5378.0,1,18.59
岩手県,九戸郡洋野町,15091.0,2,13.25
岩手県,二戸郡一戸町,11494.0,3,26.1
宮城県,仙台市,1096704.0,1,0.09
宮城県,仙台市青葉区,311590.0,45,14.44
宮城県,仙台市宮城野区,196732.0,24,12.2
宮城県,仙台市若林区,141475.0,23,16.26
宮城県,仙台市太白区,234758.0,44,18.74
宮城県,仙台市泉区,212149.0,42,19.8
宮城県,石巻市,140151.0,31,22.12
宮城県,塩竈市,52203.0,8,15.32
宮城県,気仙沼市,61147.0,15,24.53
宮城県,白石市,32758.0,6,18.32
宮城県,名取市,78718.0,18,22.87
宮城県,角田市,27976.0,6,21.45
宮城県,多賀城市,62827.0,8,12.73
宮城県,岩沼市,44068.0,10,22.69
宮城県,登米市,76037.0,16,21.04
宮城県,栗原市,64637.0,11,17.02
宮城県,東松島市,39098.0,8,20.46
宮城県,大崎市,127330.0,26,20.42
宮城県,富谷市,51651.0,9,17.42
宮城県,蔵王町,11418.0,1,8.76
宮城県,七ヶ宿町,1262.0,0,0.0
宮城県,大河原町,23571.0,6,25.46
宮城県,村田町,10666.0,3,28.13
宮城県,柴田町,38271.0,8,20.9
宮城県,川崎町,8345.0,1,11.98
宮城県,丸森町,12262.0,2,16.31
宮城県,亘理町,33087.0,6,18.13
宮城県,山元町,12046.0,2,16.6
宮城県,松島町,13323.0,2,15.01
宮城県,七ヶ浜町,18132.0,2,11.03
宮城県,利府町,35182.0,7,19.9
宮城県,大和町,28786.0,5,17.37
宮城県,大郷町,7813.0,1,12.8
宮城県,大衡村,5849.0,0,0.0
宮城県,色麻町,6698.0,1,14.93
宮城県,加美町,21943.0,4,18.23
宮城県,涌谷町,15388.0,2,13.0
宮城県,美里町,23994.0,5,20.84
宮城県,女川町,6430.0,1,15.55
宮城県,南三陸町,12225.0,3,24.54
秋田県,秋田市,307672.0,47,15.28
秋田県,能代市,49968.0,15,30.02
秋田県,横手市,85555.0,20,23.38
秋田県,大館市,69237.0,15,21.66
秋田県,男鹿市,25154.0,5,19.88
秋田県,湯沢市,42091.0,10,23.76
秋田県,鹿角市,29088.0,7,24.06
秋田県,由利本荘市,74707.0,15,20.08
秋田県,潟上市,31720.0,7,22.07
秋田県,大仙市,77657.0,22,28.33
秋田県,北秋田市,30198.0,7,23.18
秋田県,にかほ市,23435.0,7,29.87
秋田県,仙北市,24610.0,5,20.32
秋田県,小坂町,4780.0,1,20.92
秋田県,上小阿仁村,2063.0,0,0.0
秋田県,藤里町,2896.0,0,0.0
秋田県,三種町,15254.0,4,26.22
秋田県,八峰町,6577.0,1,15.2
秋田県,五城目町,8538.0,3,35.14
秋田県,八郎潟町,5583.0,3,53.73
秋田県,井川町,4566.0,2,43.8
秋田県,大潟村,3011.0,0,0.0
秋田県,美郷町,18613.0,3,16.12
秋田県,羽後町,13825.0,2,14.47
秋田県,東成瀬村,2704.0,0,0.0
山形県,山形市,247590.0,43,17.37
山形県,米沢市,81252.0,24,29.54
山形県,鶴岡市,122347.0,30,24.52
山形県,酒田市,100273.0,22,21.94
山形県,新庄市,34432.0,13,37.76
山形県,寒河江市,40189.0,12,29.86
山形県,上山市,29110.0,8,27.48
山形県,村山市,22516.0,5,22.21
山形県,長井市,26543.0,8,30.14
山形県,天童市,62140.0,11,17.7
山形県,東根市,47682.0,14,29.36
山形県,尾花沢市,14971.0,4,26.72
山形県,南陽市,30420.0,8,26.3
山形県,山辺町,13725.0,2,14.57
山形県,中山町,10746.0,4,37.22
山形県,河北町,17641.0,5,28.34
山形県,西川町,4956.0,1,20.18
山形県,朝日町,6366.0,1,15.71
山形県,大江町,7646.0,1,13.08
山形県,大石田町,6577.0,0,0.0
山形県,金山町,5071.0,0,0.0
山形県,最上町,8080.0,2,24.75
山形県,舟形町,5007.0,0,0.0
山形県,真室川町,7203.0,2,27.77
山形県,大蔵村,3028.0,0,0.0
山形県,鮭川村,3902.0,0,0.0
山形県,戸沢村,4199.0,0,0.0
山形県,高畠町,22463.0,4,17.81
山形県,川西町,14558.0,4,27.48
山形県,小国町,7107.0,2,28.14
山形県,白鷹町,12890.0,3,23.27
山形県,飯豊町,6613.0,1,15.12
山形県,三川町,7601.0,2,26.31
山形県,庄内町,20151.0,3,14.89
山形県,遊佐町,13032.0,3,23.02
福島県,福島市,282693.0,41,14.5
福島県,会津若松市,117376.0,17,14.48
福島県,郡山市,327692.0,38,11.6
福島県,いわき市,332931.0,36,10.81
福島県,白河市,59491.0,13,21.85
福島県,須賀川市,74992.0,9,12.0
福島県,喜多方市,44760.0,11,24.58
福島県,相馬市,34865.0,10,28.68
福島県,二本松市,53557.0,7,13.07
福島県,田村市,35169.0,8,22.75
福島県,南相馬市,59005.0,12,20.34
福島県,伊達市,58240.0,10,17.17
福島県,本宮市,30236.0,5,16.54
福島県,桑折町,11459.0,1,8.73
福島県,国見町,8639.0,2,23.15
福島県,川俣町,12170.0,4,32.87
福島県,大玉村,8900.0,1,11.24
福島県,鏡石町,12318.0,2,16.24
福島県,天栄村,5194.0,0,0.0
福島県,下郷町,5264.0,1,19.0
福島県,檜枝岐村,504.0,0,0.0
福島県,只見町,4044.0,0,0.0
福島県,南会津町,14451.0,2,13.84
福島県,北塩原村,2556.0,0,0.0
福島県,西会津町,5770.0,1,17.33
福島県,磐梯町,3322.0,0,0.0
福島県,猪苗代町,13552.0,2,14.76
福島県,会津坂下町,15068.0,5,33.18
福島県,湯川村,3081.0,0,0.0
福島県,柳津町,3081.0,0,0.0
福島県,三島町,1452.0,0,0.0
福島県,金山町,1862.0,0,0.0
福島県,昭和村,1246.0,0,0.0
福島県,会津美里町,19014.0,5,26.3
福島県,西郷村,20808.0,3,14.42
福島県,泉崎村,6213.0,1,16.1
福島県,中島村,4885.0,2,40.94
福島県,矢吹町,17287.0,3,17.35
福島県,棚倉町,13343.0,4,29.98
福島県,矢祭町,5392.0,1,18.55
福島県,塙町,8302.0,2,24.09
福島県,鮫川村,3049.0,0,0.0
福島県,石川町,14644.0,4,27.31
福島県,玉川村,6392.0,1,15.64
福島県,平田村,5826.0,1,17.16
福島県,浅川町,6036.0,1,16.57
福島県,古殿町,4825.0,1,20.73
福島県,三春町,17018.0,0,0.0
福島県,小野町,9471.0,2,21.12
福島県,広野町,5412.0,0,0.0
福島県,楢葉町,3710.0,0,0.0
福島県,富岡町,2128.0,1,46.99
福島県,川内村,2044.0,0,0.0
福島県,大熊町,847.0,0,0.0
福島県,浪江町,1923.0,0,0.0
福島県,葛尾村,420.0,0,0.0
福島県,新地町,7905.0,2,25.3
福島県,飯舘村,1318.0,1,75.87
